id_a,id_b,label,jaccard_3,jaccard_5
N001027,N005073,different,0.2656826568265683,0.19148936170212766
N002169,N011831,different,0.28869778869778867,0.2025183630640084
N002691,N005271,different,0.1797658862876254,0.1184407796101949
N005141,N007639,different,0.2675544794188862,0.18530020703933747
N000675,N005669,different,0.45255474452554745,0.341425215348473
N005337,N011060,different,0.1185617103984451,0.07733333333333334
N001699,N004758,different,0.17391304347826086,0.11626344086021505
N007012,N009759,different,0.17892824704813806,0.11544585987261147
N004855,N004856,same,0.6426229508196721,0.6316831683168317
N010491,N010492,same,0.6955193482688391,0.6770929162833487
N003270,N006319,different,0.14947197400487408,0.09255242227042661
N003144,N011859,different,0.41325536062378165,0.3488372093023256
N000889,N000890,same,0.630901287553648,0.6259765625
N001432,N001435,same,0.7031802120141343,0.6950959488272921
N008926,N010073,different,0.1905829596412556,0.1220472440944882
N006903,N010093,different,0.21081081081081082,0.14014895057549087
N000486,N000487,same,0.9794050343249427,0.9723991507430998
N006198,N007366,different,0.18408880666049954,0.11163522012578617
N004084,N004085,same,0.7134433962264151,0.704225352112676
N007902,N007976,different,0.5349040139616056,0.4217939214232765
N002019,N002021,same,0.5083251714005876,0.4990974729241877
N008725,N008728,same,0.644120707596254,0.629245283018868
N001957,N001958,same,0.9826589595375722,0.9769911504424779
N005497,N008336,different,0.15046491969568893,0.09733840304182509
N009301,N009302,same,0.9705159705159705,0.9527027027027027
N008499,N008952,different,0.37757437070938216,0.24645892351274787
N002300,N003674,different,0.18675179569034317,0.12384996461429583
N009680,N011001,different,0.1276595744680851,0.07981580966999233
N005556,N006568,different,0.1331133113311331,0.0911854103343465
N003574,N007121,different,0.2639269406392694,0.1776923076923077
N004353,N004355,same,0.6030444964871194,0.5910064239828694
N004438,N004442,same,0.7971274685816876,0.7637540453074434
N004678,N004680,same,0.8731836195508587,0.8588957055214724
N000056,N009414,different,0.12003311258278146,0.076980014803849
N005365,N009764,different,0.3355048859934853,0.21897163120567376
N002248,N003503,different,0.2743988684582744,0.20933165195460277
N010508,N010509,same,0.3423019431988042,0.31767955801104975
N001817,N007306,different,0.15201900237529692,0.09936575052854123
N003274,N007023,different,0.41674333026678934,0.3271555197421434
N005079,N005080,same,0.3595769682726204,0.33774834437086093
N000591,N011538,different,0.17755443886097153,0.1151560178306092
N009925,N010387,different,0.1785063752276867,0.11596505162827642
N001053,N002186,different,0.3333333333333333,0.22641509433962265
N008562,N009324,different,0.4448669201520912,0.3426001635322976
N000250,N003051,different,0.16522423288749016,0.10746685275645498
N001525,N001678,different,0.44870565675934804,0.34724540901502504
N008599,N008602,same,0.5367847411444142,0.5221238938053098
N003942,N010918,different,0.2848258706467662,0.19169329073482427
N002513,N007637,different,0.46403508771929824,0.3698630136986301
N009703,N009705,same,0.5352941176470588,0.5205479452054794
N004315,N009584,different,0.4180327868852459,0.3396029258098224
N010620,N010621,same,0.9401294498381877,0.934876989869754
N008248,N008249,same,0.3788546255506608,0.3514056224899598
N005222,N005225,same,0.3798670465337132,0.3649956024626209
N002502,N002505,same,0.9397394136807817,0.9281524926686217
N006200,N006201,same,0.40914158305462656,0.39317953861584753
N000217,N002582,different,0.22818791946308725,0.15344938749194068
N001207,N004094,different,0.2878338278931751,0.21122994652406418
N005453,N010471,different,0.3013392857142857,0.20205799812909261
N001063,N005024,different,0.34478935698447893,0.2299168975069252
N000697,N005493,different,0.11233885819521179,0.07472712006717044
N003555,N009272,different,0.12522045855379188,0.0864
N005393,N007391,different,0.2789034564958284,0.1892430278884462
N006121,N009928,different,0.4516728624535316,0.3430599369085173
N004229,N006064,different,0.12090909090909091,0.08319604612850082
N003265,N010005,different,0.3192771084337349,0.24119241192411925
N007303,N007376,different,0.14754098360655737,0.09387755102040816
N005512,N007327,different,0.3851063829787234,0.2528334786399303
N009065,N011122,different,0.133130081300813,0.09099350046425256
N001376,N001377,same,0.4180790960451977,0.39734422880490294
N000357,N000359,same,0.7128335451080051,0.7019790454016298
N008677,N011938,different,0.3268053855569155,0.22406639004149378
N002197,N002198,same,0.5197183098591549,0.49801849405548215
N001905,N005873,different,0.44240077444336884,0.3779322328410078
N007497,N007499,same,0.6375,0.6237006237006237
N007334,N007335,same,0.9335548172757475,0.922272047832586
N002570,N005618,different,0.16563467492260062,0.11472011057360056
N001074,N002707,different,0.17140661029976942,0.1111864406779661
N003691,N004544,different,0.11867525298988041,0.08171861836562763
N003415,N008452,different,0.4375578168362627,0.36979591836734693
N011716,N011717,same,0.9781591263650546,0.9690140845070423
N001083,N011985,different,0.33946251768033947,0.2424969987995198
N011499,N011500,same,0.9952095808383233,0.9955257270693513
N004212,N009766,different,0.43859649122807015,0.3323375653472741
N002974,N006457,different,0.2311111111111111,0.15256410256410258
N003854,N003855,same,0.6567567567567567,0.6447204968944099
N005378,N005379,same,0.9469914040114613,0.9452229299363057
N011829,N011830,same,0.953757225433526,0.9512195121951219
N005326,N006145,different,0.2673733804475854,0.1875637104994903
N006145,N006146,same,0.5812417437252312,0.5562347188264058
N002008,N003498,different,0.3445161290322581,0.23185265438786565
N010513,N010514,same,0.9553376906318083,0.9345238095238095
N000443,N006009,different,0.12224264705882353,0.08549874266554904
N000043,N000050,same,0.9861111111111112,0.981994459833795
N008967,N008968,same,0.29954614220877457,0.2653333333333333
N002801,N002802,same,0.6082004555808656,0.5983350676378772
N000119,N009303,different,0.1145175834084761,0.07358953393295176
N002058,N002059,same,0.96,0.954954954954955
N001325,N009136,different,0.26141078838174275,0.17717003567181927
N003642,N009092,different,0.2695417789757412,0.18223760092272204
N004298,N004299,same,0.9786184210526315,0.9673405909797823
N007729,N007732,same,0.9783464566929134,0.9657657657657658
N007652,N008774,different,0.49943630214205187,0.4291497975708502
N000834,N001578,different,0.1643939393939394,0.10785619174434088
N002673,N009844,different,0.43492769744160176,0.33657587548638135
N003008,N009152,different,0.2744630071599045,0.1863041289023162
N001326,N001328,same,0.6099110546378653,0.5924617196702002
N009445,N009562,different,0.5919117647058824,0.5065934065934066
N005985,N009162,different,0.18694601128122482,0.12181303116147309
N004071,N004072,same,0.9825242718446602,0.9765765765765766
N000384,N002019,different,0.1535303776683087,0.0962800875273523
N003494,N003495,same,0.22477064220183487,0.20041536863966772
N005806,N011786,different,0.20817120622568094,0.14528462192013594
N011420,N011984,different,0.44485294117647056,0.36217948717948717
N006646,N009384,different,0.13649851632047477,0.08820882088208822
N002639,N002640,same,0.9477124183006536,0.9372197309417041
N006541,N009386,different,0.40828402366863903,0.3390010626992561
N006760,N008055,different,0.47982456140350876,0.3858447488584475
N001785,N004629,different,0.4340425531914894,0.3466915191053122
N000741,N000745,same,0.9496062992125984,0.925
N008186,N009304,different,0.1945945945945946,0.12330623306233063
N001323,N006364,different,0.2789317507418398,0.19576719576719576
N003863,N010008,different,0.18098415346121768,0.1255539143279173
N000058,N000184,different,0.4532940019665683,0.3803307223672759
N000412,N004657,different,0.191131498470948,0.1335593220338983
N000926,N003644,different,0.4985507246376812,0.4040574809805579
N004369,N008199,different,0.35900339750849375,0.23671947809878843
N003450,N006996,different,0.24206008583690988,0.1618075801749271
N004410,N006730,different,0.15149136577708006,0.10084033613445378
N006041,N011988,different,0.15779467680608364,0.10436270316509838
N004913,N010317,different,0.3530066815144766,0.2316849816849817
N007995,N007997,same,0.6266280752532561,0.6069057104913679
N001334,N006274,different,0.18098415346121768,0.12342007434944238
N004939,N011284,different,0.12597066436583262,0.08243451463790447
N005634,N006584,different,0.2685069008782936,0.19083969465648856
N003301,N003302,same,0.6106304079110012,0.5970654627539503
N002267,N010375,different,0.2852897473997028,0.20502645502645503
N003158,N007300,different,0.26370757180156656,0.16962962962962963
N002085,N007988,different,0.30014025245441794,0.20388349514563106
N001118,N001120,same,0.9612068965517241,0.9428934010152284
N000030,N006079,different,0.3114973262032086,0.214123006833713
N005137,N009628,different,0.29328165374677,0.208803611738149
N004055,N008225,different,0.1403985507246377,0.09141494435612083
N001879,N004065,different,0.19721577726218098,0.130879345603272
N000486,N011101,different,0.3319783197831978,0.23803967327887982
N007430,N010330,different,0.4953271028037383,0.3967741935483871
N006041,N009700,different,0.43905635648754915,0.3621301775147929
N000297,N003849,different,0.18052057094878254,0.11526946107784432
N003611,N007188,different,0.2912371134020619,0.19517543859649122
N009978,N009979,same,0.4718384697130712,0.4592445328031809
N001022,N001023,same,0.6374133949191686,0.6304118268215417
N001629,N005005,different,0.24919093851132687,0.15637860082304528
N002923,N007247,different,0.17447495961227788,0.11882605583392986
N003164,N009587,different,0.19677093844601412,0.12752858399296393
N006832,N010598,different,0.22046651617757712,0.1471550032701112
N006511,N006512,same,0.637400228050171,0.6310380267214799
N002304,N009060,different,0.14525691699604742,0.09375
N002106,N006701,different,0.3298245614035088,0.22254901960784312
N006856,N006857,same,0.6453407510431154,0.6272727272727273
N003821,N009085,different,0.48847926267281105,0.4268041237113402
N004522,N009816,different,0.5280095351609059,0.455026455026455
N008514,N008515,same,0.4496969696969697,0.43777777777777777
N008382,N009718,different,0.13227513227513227,0.0830945558739255
N005805,N011332,different,0.4603691639522258,0.406496062992126
N004216,N004699,different,0.3029100529100529,0.203579418344519
N001432,N008873,different,0.44,0.3312252964426877
N002149,N003382,different,0.11526479750778816,0.08014911463187326
N004731,N009345,different,0.3870192307692308,0.3355408388520971
N002163,N002307,different,0.3975563909774436,0.31194151096669376
N002952,N008752,different,0.30971128608923887,0.23059360730593606
N000745,N005843,different,0.26904761904761904,0.19285714285714287
N005260,N011019,different,0.11220825852782765,0.07398373983739838
N002299,N009882,different,0.13884297520661157,0.08808290155440414
N002171,N005867,different,0.2079207920792079,0.14612676056338028
N005334,N007457,different,0.2987012987012987,0.20728008088978767
N005304,N005305,same,0.9093525179856116,0.8866242038216561
N005134,N005135,same,0.6181619256017505,0.6097318768619663
N000982,N005390,different,0.3111111111111111,0.2252922422954304
N002992,N009046,different,0.45254745254745254,0.35857267188859876
N000628,N000633,same,0.35878962536023057,0.3333333333333333
N000573,N006170,different,0.16398104265402844,0.10406091370558376
N010406,N010408,same,0.9868073878627969,0.9776119402985075
N002446,N002447,same,0.6701183431952663,0.6553133514986376
N000735,N001335,different,0.4624098867147271,0.382032667876588
N008238,N011480,different,0.4092920353982301,0.33168805528134254
N000321,N000443,different,0.11914460285132383,0.08364661654135339
N007541,N007546,same,0.3201357466063348,0.2976313079299691
N002683,N007848,different,0.14716636197440586,0.09120788824979457
N009983,N009985,same,0.27672955974842767,0.25332068311195444
N007568,N007570,same,0.43979721166032953,0.42424242424242425
N005448,N005962,different,0.29403606102635227,0.20883054892601433
N004767,N004768,same,0.9114219114219114,0.9004329004329005
N007023,N007916,different,0.44465116279069766,0.3330702446724546
N000315,N000316,same,0.5631313131313131,0.5470383275261324
N001578,N002947,different,0.1927353595255745,0.12775616083009078
N009857,N010711,different,0.3189873417721519,0.22608695652173913
N002290,N003634,different,0.4823731728288908,0.37913299044819987
N011438,N011440,same,0.6818181818181818,0.6671035386631717
N010035,N011646,different,0.3126934984520124,0.22802197802197802
N001295,N001296,same,0.6771879483500718,0.6604527296937417
N005825,N010265,different,0.3019559902200489,0.20545073375262055
N002351,N005508,different,0.47245564892623715,0.3617363344051447
N011075,N011077,same,0.9415204678362573,0.9341935483870968
N011335,N011336,same,0.42099322799097066,0.4023109243697479
N000514,N011152,different,0.4657534246575342,0.3470817120622568
N010762,N010766,same,0.945054945054945,0.9219858156028369
N001314,N003288,different,0.49804839968774395,0.3825065274151436
N001403,N001405,same,0.24444444444444444,0.21847930702598653
N010389,N010391,same,0.8936170212765957,0.8616071428571429
N001258,N001261,same,0.9604430379746836,0.9384835479256081
N003574,N011053,different,0.4176533907427341,0.3339622641509434
N001484,N005371,different,0.3856589147286822,0.29260182876142976
N005426,N005427,same,0.9256198347107438,0.9186046511627907
N008443,N010211,different,0.19233603537214444,0.1276595744680851
N005517,N011613,different,0.12015888778550149,0.08318098720292505
N005828,N010514,different,0.14030819140308193,0.08676789587852494
N011154,N011156,same,0.6553552492046659,0.6539923954372624
N002595,N003310,different,0.2673130193905817,0.17681498829039813
N008630,N011336,different,0.5083986562150056,0.4435483870967742
N004951,N008794,different,0.37678401522359656,0.29866888519134777
N000391,N004186,different,0.39901477832512317,0.3363028953229399
N000166,N008677,different,0.29328621908127206,0.20342396777442096
N009154,N011317,different,0.3404255319148936,0.22455403987408185
N002589,N009612,different,0.3952662721893491,0.32831001076426264
N008268,N009916,different,0.4082051282051282,0.32545454545454544
N002316,N002317,same,0.516546762589928,0.49601063829787234
N006596,N011033,different,0.1719022687609075,0.1201885310290652
N010106,N010107,same,0.4155688622754491,0.3879120879120879
N008409,N008410,same,0.963302752293578,0.9426934097421203
N001937,N007430,different,0.43248730964467,0.3712737127371274
N000078,N006886,different,0.28402366863905326,0.20266666666666666
N010999,N011001,same,0.36,0.32802937576499386
N001357,N010788,different,0.3091517857142857,0.20168067226890757
N000906,N011149,different,0.38375973303670746,0.2484076433121019
N003435,N009318,different,0.32756756756756755,0.2224231464737794
N002916,N004445,different,0.2777777777777778,0.1953125
N003770,N011367,different,0.32098765432098764,0.2438692098092643
N010980,N010981,same,0.6670157068062827,0.6575729068673566
N005040,N005041,same,0.9271255060728745,0.922365988909427
N008937,N008938,same,0.25128865979381443,0.22748815165876776
N002071,N006588,different,0.15436241610738255,0.11220715166461159
N010261,N011914,different,0.4262435677530017,0.34375
