notice_id_a,notice_id_b,label,true_similarity,retrieved,candidate_count,similarity_bin
N002811,N007128,different,0.21108490566037735,False,0,"[0.2, 0.3)"
N007478,N011108,different,0.13304410701373826,False,22,"[0.1, 0.2)"
N001760,N001761,same,0.9564356435643564,True,1,"[0.9, 1.01)"
N004944,N009237,different,0.12702078521939955,False,21,"[0.1, 0.2)"
N008261,N008262,same,0.6127110228401191,False,25,"[0.6, 0.7)"
N003630,N009918,different,0.164021164021164,False,0,"[0.1, 0.2)"
N003948,N008608,different,0.09424083769633508,False,244,"[0.0, 0.1)"
N008997,N008998,same,0.5355450236966824,False,1,"[0.5, 0.6)"
N004789,N005917,different,0.2227314390467461,False,3,"[0.2, 0.3)"
N003672,N008071,different,0.4482758620689655,False,88,"[0.4, 0.5)"
N009235,N009236,same,0.43392070484581496,False,0,"[0.4, 0.5)"
N001817,N002597,different,0.38290293855743546,False,350,"[0.3, 0.4)"
N000985,N000986,same,0.21484814398200225,False,1,"[0.2, 0.3)"
N000993,N010660,different,0.19585492227979276,False,37,"[0.1, 0.2)"
N003269,N010318,different,0.24196428571428572,False,3,"[0.2, 0.3)"
N011750,N011966,different,0.21884200196270853,False,3,"[0.2, 0.3)"
N010357,N010360,same,0.9775967413441955,True,5,"[0.9, 1.01)"
N001163,N001165,same,0.963963963963964,True,1,"[0.9, 1.01)"
N011255,N011732,different,0.25301204819277107,False,0,"[0.2, 0.3)"
N007191,N011803,different,0.09849624060150376,False,85,"[0.0, 0.1)"
N003422,N008330,different,0.10510732790525537,False,415,"[0.1, 0.2)"
N004762,N011915,different,0.37445699391833187,False,42,"[0.3, 0.4)"
N006325,N006326,same,0.8560830860534124,True,8,"[0.8, 0.9)"
N003658,N003661,same,0.9563492063492064,True,2,"[0.9, 1.01)"
N010135,N010136,same,0.9802306425041186,True,1,"[0.9, 1.01)"
N003079,N011928,different,0.39072847682119205,False,47,"[0.3, 0.4)"
N000268,N009659,different,0.4808362369337979,False,174,"[0.4, 0.5)"
N001173,N001174,same,0.6185983827493261,False,1,"[0.6, 0.7)"
N004065,N007546,different,0.33714880332986474,False,4,"[0.3, 0.4)"
N000702,N007932,different,0.08437935843793584,False,2,"[0.0, 0.1)"
N009387,N009517,different,0.2125,False,3,"[0.2, 0.3)"
N000358,N007166,different,0.20224719101123595,False,2,"[0.2, 0.3)"
N007841,N011872,different,0.09887640449438202,False,258,"[0.0, 0.1)"
N000576,N000577,same,0.19479166666666667,False,52,"[0.1, 0.2)"
N003372,N008041,different,0.19982238010657194,False,0,"[0.1, 0.2)"
N006470,N009323,different,0.3857998289136014,False,73,"[0.3, 0.4)"
N001685,N001686,same,0.6404833836858006,True,95,"[0.6, 0.7)"
N002358,N005690,different,0.2187192118226601,False,0,"[0.2, 0.3)"
N002216,N002218,same,0.8641975308641975,True,15,"[0.8, 0.9)"
N003837,N007101,different,0.31993299832495814,False,6,"[0.3, 0.4)"
N008995,N010419,different,0.2130479102956167,False,2,"[0.2, 0.3)"
N001394,N003813,different,0.12021857923497267,False,29,"[0.1, 0.2)"
N003816,N009648,different,0.4149797570850202,False,139,"[0.4, 0.5)"
N000883,N003126,different,0.09569798068481124,False,93,"[0.0, 0.1)"
N010748,N011807,different,0.1994750656167979,False,0,"[0.1, 0.2)"
N006050,N007874,different,0.13000656598818122,False,89,"[0.1, 0.2)"
N011687,N011688,same,0.981549815498155,True,2,"[0.9, 1.01)"
N000036,N011140,different,0.1573907839616996,False,55,"[0.1, 0.2)"
N000051,N000052,same,0.948051948051948,True,1,"[0.9, 1.01)"
N001105,N007889,different,0.07413647851727043,False,39,"[0.0, 0.1)"
N004491,N004492,same,0.5326460481099656,False,1,"[0.5, 0.6)"
N004978,N009682,different,0.1393998063891578,False,24,"[0.1, 0.2)"
N008379,N008380,same,0.9316666666666666,True,2,"[0.9, 1.01)"
N001189,N011628,different,0.11423390752493201,False,1,"[0.1, 0.2)"
N000183,N001889,different,0.49176470588235294,False,263,"[0.4, 0.5)"
N006225,N006227,same,0.22401847575057737,False,49,"[0.2, 0.3)"
N002447,N007313,different,0.18085106382978725,False,1,"[0.1, 0.2)"
N005321,N005322,same,0.9280469897209985,True,4,"[0.9, 1.01)"
N004563,N004564,same,0.39532710280373834,False,18,"[0.3, 0.4)"
N001497,N001498,same,0.48555452003727867,False,36,"[0.4, 0.5)"
N002729,N008105,different,0.2131303520456708,False,0,"[0.2, 0.3)"
N000314,N008220,different,0.1585518102372035,False,427,"[0.1, 0.2)"
N001902,N009227,different,0.39800995024875624,False,1,"[0.3, 0.4)"
N001376,N009439,different,0.3347978910369069,True,29,"[0.3, 0.4)"
N003019,N009498,different,0.13851132686084142,False,42,"[0.1, 0.2)"
N003883,N004988,different,0.12106368089573127,False,89,"[0.1, 0.2)"
N004822,N007764,different,0.1676300578034682,False,23,"[0.1, 0.2)"
N000255,N007615,different,0.2907986111111111,False,2,"[0.2, 0.3)"
N005676,N011302,different,0.20606060606060606,False,2,"[0.2, 0.3)"
N003403,N007889,different,0.09466984884645982,False,450,"[0.0, 0.1)"
N002476,N005891,different,0.10975609756097561,False,248,"[0.1, 0.2)"
N004988,N009224,different,0.1382059800664452,False,15,"[0.1, 0.2)"
N001677,N011151,different,0.13058186738836267,False,21,"[0.1, 0.2)"
N006731,N006732,same,0.8990654205607477,True,1,"[0.8, 0.9)"
N002200,N009548,different,0.11722331368696791,False,12,"[0.1, 0.2)"
N001873,N001874,same,0.9325842696629213,True,1,"[0.9, 1.01)"
N006820,N010293,different,0.22282023681377824,False,0,"[0.2, 0.3)"
N004096,N007060,different,0.27988614800759015,False,2,"[0.2, 0.3)"
N003135,N003543,different,0.24570273003033366,False,1,"[0.2, 0.3)"
N006564,N007387,different,0.19121447028423771,False,0,"[0.1, 0.2)"
N004906,N008027,different,0.24807692307692308,False,5,"[0.2, 0.3)"
N000145,N007083,different,0.10909090909090909,False,6,"[0.1, 0.2)"
N008087,N008088,same,0.3354908306364617,False,70,"[0.3, 0.4)"
N007153,N007701,different,0.3650927487352445,False,456,"[0.3, 0.4)"
N010825,N010826,same,0.644918444165621,False,0,"[0.6, 0.7)"
N006905,N006906,same,0.9822866344605475,True,17,"[0.9, 1.01)"
N001863,N002786,different,0.12583668005354753,False,5,"[0.1, 0.2)"
N001735,N005403,different,0.3199214916584887,False,74,"[0.3, 0.4)"
N009982,N009985,same,0.2090837901331245,False,241,"[0.2, 0.3)"
N008801,N011616,different,0.2028688524590164,False,0,"[0.2, 0.3)"
N003201,N011795,different,0.35932944606413997,False,159,"[0.3, 0.4)"
N009040,N010335,different,0.09785202863961814,False,18,"[0.0, 0.1)"
N000276,N000278,same,0.27864214992927866,False,0,"[0.2, 0.3)"
N001338,N001340,same,0.9664536741214057,True,1,"[0.9, 1.01)"
N011118,N011119,same,0.8803301237964236,True,1,"[0.8, 0.9)"
N000768,N000770,same,0.6614509246088194,True,1,"[0.6, 0.7)"
N001515,N006807,different,0.19735599622285174,False,7,"[0.1, 0.2)"
N009100,N009150,different,0.19038461538461537,False,0,"[0.1, 0.2)"
N000437,N010413,different,0.1146051712089448,False,88,"[0.1, 0.2)"
N008497,N008498,same,0.5684556407447974,True,326,"[0.5, 0.6)"
N007145,N007146,same,0.5333333333333333,False,1,"[0.5, 0.6)"
N007053,N010560,different,0.2975486052409129,False,240,"[0.2, 0.3)"
N008280,N010910,different,0.2009950248756219,False,0,"[0.2, 0.3)"
N001364,N001365,same,0.9332298136645962,True,3,"[0.9, 1.01)"
N001075,N009237,different,0.3926174496644295,False,14,"[0.3, 0.4)"
N003268,N007976,different,0.40863309352517985,False,136,"[0.4, 0.5)"
N004168,N004169,same,0.6666666666666666,False,17,"[0.6, 0.7)"
N003317,N011369,different,0.17476635514018693,False,0,"[0.1, 0.2)"
N002748,N011595,different,0.3349609375,False,48,"[0.3, 0.4)"
N000873,N002331,different,0.10371650821089023,False,21,"[0.1, 0.2)"
N009379,N009380,same,0.9779179810725552,True,2,"[0.9, 1.01)"
N007382,N009541,different,0.1262135922330097,False,269,"[0.1, 0.2)"
N006828,N011568,different,0.1245819397993311,False,3,"[0.1, 0.2)"
N005210,N009890,different,0.17995444191343962,False,2,"[0.1, 0.2)"
N009046,N010077,different,0.3049645390070922,False,2,"[0.3, 0.4)"
N000659,N006306,different,0.11432813659985153,False,18,"[0.1, 0.2)"
N005472,N007849,different,0.12616487455197134,False,184,"[0.1, 0.2)"
N007681,N009555,different,0.36071987480438183,False,144,"[0.3, 0.4)"
N007201,N010116,different,0.20209059233449478,False,2,"[0.2, 0.3)"
N002665,N004599,different,0.11670020120724346,False,262,"[0.1, 0.2)"
N007557,N008376,different,0.35996771589991927,False,4,"[0.3, 0.4)"
N000189,N001381,different,0.1941941941941942,False,1,"[0.1, 0.2)"
N004220,N007941,different,0.3201793721973094,False,3,"[0.3, 0.4)"
N002036,N008928,different,0.07540263543191801,False,320,"[0.0, 0.1)"
N003662,N010020,different,0.19473684210526315,False,0,"[0.1, 0.2)"
N004066,N006280,different,0.19036954087346025,False,3,"[0.1, 0.2)"
N005647,N010086,different,0.1959531416400426,False,1,"[0.1, 0.2)"
N002586,N006131,different,0.20436507936507936,False,0,"[0.2, 0.3)"
N004043,N004969,different,0.0842654735272185,False,107,"[0.0, 0.1)"
N010853,N010857,same,0.7506142506142506,True,242,"[0.7, 0.8)"
N000202,N007774,different,0.24489795918367346,False,5,"[0.2, 0.3)"
N002852,N002853,same,0.5905511811023622,False,1,"[0.5, 0.6)"
N008049,N010976,different,0.18335343787696018,False,2,"[0.1, 0.2)"
N010028,N010039,different,0.3333333333333333,False,17,"[0.3, 0.4)"
N004028,N010035,different,0.19946091644204852,False,0,"[0.1, 0.2)"
N001702,N010946,different,0.13983050847457626,False,266,"[0.1, 0.2)"
N008791,N008803,different,0.3793103448275862,False,273,"[0.3, 0.4)"
N000684,N004640,different,0.22285174693106705,False,6,"[0.2, 0.3)"
N011929,N011930,same,0.3801801801801802,False,172,"[0.3, 0.4)"
N003860,N004075,different,0.3190854870775348,False,31,"[0.3, 0.4)"
N003884,N007431,different,0.10274963820549927,False,340,"[0.1, 0.2)"
N002204,N007953,different,0.16557017543859648,False,5,"[0.1, 0.2)"
N005664,N005666,same,0.7929759704251387,True,1,"[0.7, 0.8)"
N003982,N006359,different,0.3504132231404959,False,66,"[0.3, 0.4)"
N002817,N002819,same,0.2578288100208768,False,25,"[0.2, 0.3)"
N002626,N002629,same,0.5319662243667069,True,65,"[0.5, 0.6)"
N000262,N002156,different,0.3612852664576803,False,0,"[0.3, 0.4)"
N000131,N003422,different,0.40736949846468784,False,17,"[0.4, 0.5)"
N000852,N010531,different,0.09644194756554307,False,210,"[0.0, 0.1)"
N003659,N005484,different,0.12173913043478261,False,86,"[0.1, 0.2)"
N001115,N009773,different,0.43190661478599224,False,175,"[0.4, 0.5)"
N010941,N010942,same,0.9493670886075949,True,2,"[0.9, 1.01)"
N008101,N008840,different,0.17832167832167833,False,3,"[0.1, 0.2)"
N005983,N009546,different,0.4146772767462423,True,561,"[0.4, 0.5)"
N001180,N006053,different,0.30844444444444447,False,2,"[0.3, 0.4)"
N004248,N005277,different,0.1471264367816092,False,2,"[0.1, 0.2)"
N006025,N010086,different,0.1913632514817951,False,2,"[0.1, 0.2)"
N002970,N007570,different,0.3889908256880734,False,48,"[0.3, 0.4)"
N002439,N007343,different,0.3269035532994924,False,43,"[0.3, 0.4)"
N001488,N005914,different,0.21405750798722045,False,4,"[0.2, 0.3)"
N001624,N006762,different,0.11528150134048257,False,1,"[0.1, 0.2)"
N004870,N006313,different,0.24545454545454545,False,0,"[0.2, 0.3)"
N011017,N011020,same,0.5581920903954802,False,272,"[0.5, 0.6)"
N002389,N002391,same,0.575192096597146,False,6,"[0.5, 0.6)"
N000672,N002056,different,0.10357142857142858,False,47,"[0.1, 0.2)"
N003476,N004605,different,0.22291666666666668,False,1,"[0.2, 0.3)"
N008022,N010492,different,0.36712095400340716,False,420,"[0.3, 0.4)"
N009775,N009854,different,0.07016129032258064,False,17,"[0.0, 0.1)"
N001443,N010092,different,0.29831932773109243,False,240,"[0.2, 0.3)"
N008152,N008153,same,0.9633251833740831,True,1,"[0.9, 1.01)"
N004151,N009894,different,0.10865051903114187,False,166,"[0.1, 0.2)"
N009151,N011771,different,0.4052993130520118,False,283,"[0.4, 0.5)"
N004672,N008166,different,0.4641544117647059,False,160,"[0.4, 0.5)"
N005081,N007027,different,0.18117854001759015,False,4,"[0.1, 0.2)"
N002173,N008545,different,0.20683287165281625,False,4,"[0.2, 0.3)"
N003781,N003783,same,0.9282371294851794,True,4,"[0.9, 1.01)"
N002084,N007552,different,0.21279373368146215,False,1,"[0.2, 0.3)"
N004001,N004002,same,0.46846846846846846,False,10,"[0.4, 0.5)"
N009163,N009439,different,0.17166416791604197,False,2,"[0.1, 0.2)"
N002426,N003338,different,0.11958041958041958,False,44,"[0.1, 0.2)"
N006423,N006425,same,0.9662921348314607,True,2,"[0.9, 1.01)"
N007876,N009829,different,0.4310064935064935,False,18,"[0.4, 0.5)"
N007687,N009311,different,0.36731107205623903,False,57,"[0.3, 0.4)"
N001746,N002955,different,0.07962328767123288,False,17,"[0.0, 0.1)"
N008284,N008285,same,0.6030612244897959,False,1,"[0.6, 0.7)"
N001309,N011869,different,0.09463148316651501,False,28,"[0.0, 0.1)"
N002589,N004081,different,0.11451612903225807,False,92,"[0.1, 0.2)"
N005300,N006349,different,0.400196656833825,False,197,"[0.4, 0.5)"
N009455,N009456,same,0.5677339901477833,True,14,"[0.5, 0.6)"
N004081,N010560,different,0.12895752895752896,False,64,"[0.1, 0.2)"
N004306,N004307,same,0.9730941704035875,True,1,"[0.9, 1.01)"
N000884,N011090,different,0.31649484536082473,False,26,"[0.3, 0.4)"
N000010,N003634,different,0.10844200411805079,False,4,"[0.1, 0.2)"
N002225,N011649,different,0.19815195071868583,False,0,"[0.1, 0.2)"
N001484,N003224,different,0.09112519809825674,False,243,"[0.0, 0.1)"
N008411,N008412,same,0.36926147704590817,False,1,"[0.3, 0.4)"
N006804,N010502,different,0.15614886731391586,False,2,"[0.1, 0.2)"
N009437,N010826,different,0.3293795620437956,False,0,"[0.3, 0.4)"
N000335,N007009,different,0.25068870523415976,False,0,"[0.2, 0.3)"
N002857,N005654,different,0.3247422680412371,False,32,"[0.3, 0.4)"
N000078,N007325,different,0.22010869565217392,False,0,"[0.2, 0.3)"
N000864,N005773,different,0.18385214007782102,False,2,"[0.1, 0.2)"
N007718,N008135,different,0.30525437864887406,False,6,"[0.3, 0.4)"
N006976,N010778,different,0.351451973194341,False,7,"[0.3, 0.4)"
N002774,N011414,different,0.20585048754062837,False,2,"[0.2, 0.3)"
N004762,N010111,different,0.40985130111524165,False,42,"[0.4, 0.5)"
N003908,N003909,same,0.2292929292929293,False,3,"[0.2, 0.3)"
N000664,N000666,same,0.40914709517923364,False,1,"[0.4, 0.5)"
N004323,N009954,different,0.18536009445100354,False,0,"[0.1, 0.2)"
N010390,N011580,different,0.10576923076923077,False,94,"[0.1, 0.2)"
N004880,N004881,same,0.9330484330484331,True,1,"[0.9, 1.01)"
N000818,N006620,different,0.13406408094435077,False,3,"[0.1, 0.2)"
N001043,N002862,different,0.22560429722470904,False,4,"[0.2, 0.3)"
N000640,N011658,different,0.1317008603573792,False,347,"[0.1, 0.2)"
N008018,N008676,different,0.08196721311475409,False,192,"[0.0, 0.1)"
N002685,N002686,same,0.4891611687087653,True,26,"[0.4, 0.5)"
N000449,N010133,different,0.19014891179839633,False,3,"[0.1, 0.2)"
N004683,N007002,different,0.12380952380952381,False,4,"[0.1, 0.2)"
N010844,N011602,different,0.20945945945945946,False,0,"[0.2, 0.3)"
N002440,N002443,same,0.31993299832495814,True,2,"[0.3, 0.4)"
N001357,N003372,different,0.18711385701676964,False,2,"[0.1, 0.2)"
N010856,N010857,same,0.6835138387484958,True,3,"[0.6, 0.7)"
N005262,N005263,same,0.3064159292035398,False,12,"[0.3, 0.4)"
N000070,N004969,different,0.40397350993377484,False,6,"[0.4, 0.5)"
N003615,N009126,different,0.3707865168539326,False,4,"[0.3, 0.4)"
N003236,N006862,different,0.1080574640849469,False,2,"[0.1, 0.2)"
N001257,N005818,different,0.11585807385952208,False,432,"[0.1, 0.2)"
N001027,N005073,different,0.19148936170212766,False,1,"[0.1, 0.2)"
N002169,N011831,different,0.2025183630640084,False,5,"[0.2, 0.3)"
N002691,N005271,different,0.1184407796101949,False,272,"[0.1, 0.2)"
N005141,N007639,different,0.18530020703933747,False,0,"[0.1, 0.2)"
N000675,N005669,different,0.341425215348473,False,19,"[0.3, 0.4)"
N005337,N011060,different,0.07733333333333334,False,1,"[0.0, 0.1)"
N001699,N004758,different,0.11626344086021505,False,16,"[0.1, 0.2)"
N007012,N009759,different,0.11544585987261147,False,2,"[0.1, 0.2)"
N004855,N004856,same,0.6316831683168317,False,3,"[0.6, 0.7)"
N010491,N010492,same,0.6770929162833487,True,86,"[0.6, 0.7)"
N003270,N006319,different,0.09255242227042661,False,108,"[0.0, 0.1)"
N003144,N011859,different,0.3488372093023256,False,115,"[0.3, 0.4)"
N000889,N000890,same,0.6259765625,False,5,"[0.6, 0.7)"
N001432,N001435,same,0.6950959488272921,True,8,"[0.6, 0.7)"
N008926,N010073,different,0.1220472440944882,False,120,"[0.1, 0.2)"
N006903,N010093,different,0.14014895057549087,False,25,"[0.1, 0.2)"
N000486,N000487,same,0.9723991507430998,True,5,"[0.9, 1.01)"
N006198,N007366,different,0.11163522012578617,False,3,"[0.1, 0.2)"
N004084,N004085,same,0.704225352112676,True,4,"[0.7, 0.8)"
N007902,N007976,different,0.4217939214232765,True,32,"[0.4, 0.5)"
N002019,N002021,same,0.4990974729241877,False,12,"[0.4, 0.5)"
N008725,N008728,same,0.629245283018868,False,2,"[0.6, 0.7)"
N001957,N001958,same,0.9769911504424779,True,1,"[0.9, 1.01)"
N005497,N008336,different,0.09733840304182509,False,31,"[0.0, 0.1)"
N009301,N009302,same,0.9527027027027027,True,1,"[0.9, 1.01)"
N008499,N008952,different,0.24645892351274787,False,0,"[0.2, 0.3)"
N002300,N003674,different,0.12384996461429583,False,16,"[0.1, 0.2)"
N009680,N011001,different,0.07981580966999233,False,77,"[0.0, 0.1)"
N005556,N006568,different,0.0911854103343465,False,185,"[0.0, 0.1)"
N003574,N007121,different,0.1776923076923077,False,23,"[0.1, 0.2)"
N004353,N004355,same,0.5910064239828694,True,6,"[0.5, 0.6)"
N004438,N004442,same,0.7637540453074434,True,3,"[0.7, 0.8)"
N004678,N004680,same,0.8588957055214724,True,13,"[0.8, 0.9)"
N000056,N009414,different,0.076980014803849,False,1,"[0.0, 0.1)"
N005365,N009764,different,0.21897163120567376,False,0,"[0.2, 0.3)"
N002248,N003503,different,0.20933165195460277,False,1,"[0.2, 0.3)"
N010508,N010509,same,0.31767955801104975,False,0,"[0.3, 0.4)"
N001817,N007306,different,0.09936575052854123,False,350,"[0.0, 0.1)"
N003274,N007023,different,0.3271555197421434,False,32,"[0.3, 0.4)"
N005079,N005080,same,0.33774834437086093,False,215,"[0.3, 0.4)"
N000591,N011538,different,0.1151560178306092,False,239,"[0.1, 0.2)"
N009925,N010387,different,0.11596505162827642,False,6,"[0.1, 0.2)"
N001053,N002186,different,0.22641509433962265,False,3,"[0.2, 0.3)"
N008562,N009324,different,0.3426001635322976,False,7,"[0.3, 0.4)"
N000250,N003051,different,0.10746685275645498,False,65,"[0.1, 0.2)"
N001525,N001678,different,0.34724540901502504,False,3,"[0.3, 0.4)"
N008599,N008602,same,0.5221238938053098,False,46,"[0.5, 0.6)"
N003942,N010918,different,0.19169329073482427,False,5,"[0.1, 0.2)"
N002513,N007637,different,0.3698630136986301,False,176,"[0.3, 0.4)"
N009703,N009705,same,0.5205479452054794,False,81,"[0.5, 0.6)"
N004315,N009584,different,0.3396029258098224,False,1,"[0.3, 0.4)"
N010620,N010621,same,0.934876989869754,True,1,"[0.9, 1.01)"
N008248,N008249,same,0.3514056224899598,False,0,"[0.3, 0.4)"
N005222,N005225,same,0.3649956024626209,False,257,"[0.3, 0.4)"
N002502,N002505,same,0.9281524926686217,True,7,"[0.9, 1.01)"
N006200,N006201,same,0.39317953861584753,False,0,"[0.3, 0.4)"
N000217,N002582,different,0.15344938749194068,False,33,"[0.1, 0.2)"
N001207,N004094,different,0.21122994652406418,False,0,"[0.2, 0.3)"
N005453,N010471,different,0.20205799812909261,False,3,"[0.2, 0.3)"
N001063,N005024,different,0.2299168975069252,False,5,"[0.2, 0.3)"
N000697,N005493,different,0.07472712006717044,False,578,"[0.0, 0.1)"
N003555,N009272,different,0.0864,False,305,"[0.0, 0.1)"
N005393,N007391,different,0.1892430278884462,False,1,"[0.1, 0.2)"
N006121,N009928,different,0.3430599369085173,False,13,"[0.3, 0.4)"
N004229,N006064,different,0.08319604612850082,False,515,"[0.0, 0.1)"
N003265,N010005,different,0.24119241192411925,False,0,"[0.2, 0.3)"
N007303,N007376,different,0.09387755102040816,False,30,"[0.0, 0.1)"
N005512,N007327,different,0.2528334786399303,False,9,"[0.2, 0.3)"
N009065,N011122,different,0.09099350046425256,False,152,"[0.0, 0.1)"
N001376,N001377,same,0.39734422880490294,False,29,"[0.3, 0.4)"
N000357,N000359,same,0.7019790454016298,True,5,"[0.7, 0.8)"
N008677,N011938,different,0.22406639004149378,False,1,"[0.2, 0.3)"
N002197,N002198,same,0.49801849405548215,False,1,"[0.4, 0.5)"
N001905,N005873,different,0.3779322328410078,False,201,"[0.3, 0.4)"
N007497,N007499,same,0.6237006237006237,True,3,"[0.6, 0.7)"
N007334,N007335,same,0.922272047832586,True,1,"[0.9, 1.01)"
N002570,N005618,different,0.11472011057360056,False,99,"[0.1, 0.2)"
N001074,N002707,different,0.1111864406779661,False,215,"[0.1, 0.2)"
N003691,N004544,different,0.08171861836562763,False,16,"[0.0, 0.1)"
N003415,N008452,different,0.36979591836734693,False,34,"[0.3, 0.4)"
N011716,N011717,same,0.9690140845070423,True,1,"[0.9, 1.01)"
N001083,N011985,different,0.2424969987995198,False,2,"[0.2, 0.3)"
N011499,N011500,same,0.9955257270693513,True,135,"[0.9, 1.01)"
N004212,N009766,different,0.3323375653472741,False,30,"[0.3, 0.4)"
N002974,N006457,different,0.15256410256410258,False,125,"[0.1, 0.2)"
N003854,N003855,same,0.6447204968944099,False,0,"[0.6, 0.7)"
N005378,N005379,same,0.9452229299363057,True,2,"[0.9, 1.01)"
N011829,N011830,same,0.9512195121951219,True,1,"[0.9, 1.01)"
N005326,N006145,different,0.1875637104994903,False,0,"[0.1, 0.2)"
N006145,N006146,same,0.5562347188264058,False,0,"[0.5, 0.6)"
N002008,N003498,different,0.23185265438786565,False,3,"[0.2, 0.3)"
N010513,N010514,same,0.9345238095238095,True,20,"[0.9, 1.01)"
N000443,N006009,different,0.08549874266554904,False,84,"[0.0, 0.1)"
N000043,N000050,same,0.981994459833795,True,4,"[0.9, 1.01)"
N008967,N008968,same,0.2653333333333333,False,0,"[0.2, 0.3)"
N002801,N002802,same,0.5983350676378772,False,0,"[0.5, 0.6)"
N000119,N009303,different,0.07358953393295176,False,146,"[0.0, 0.1)"
N002058,N002059,same,0.954954954954955,True,41,"[0.9, 1.01)"
N001325,N009136,different,0.17717003567181927,False,1,"[0.1, 0.2)"
N003642,N009092,different,0.18223760092272204,False,5,"[0.1, 0.2)"
N004298,N004299,same,0.9673405909797823,True,3,"[0.9, 1.01)"
N007729,N007732,same,0.9657657657657658,True,3,"[0.9, 1.01)"
N007652,N008774,different,0.4291497975708502,False,211,"[0.4, 0.5)"
N000834,N001578,different,0.10785619174434088,False,311,"[0.1, 0.2)"
N002673,N009844,different,0.33657587548638135,False,33,"[0.3, 0.4)"
N003008,N009152,different,0.1863041289023162,False,2,"[0.1, 0.2)"
N001326,N001328,same,0.5924617196702002,False,11,"[0.5, 0.6)"
N009445,N009562,different,0.5065934065934066,True,454,"[0.5, 0.6)"
N005985,N009162,different,0.12181303116147309,False,2,"[0.1, 0.2)"
N004071,N004072,same,0.9765765765765766,True,3,"[0.9, 1.01)"
N000384,N002019,different,0.0962800875273523,False,73,"[0.0, 0.1)"
N003494,N003495,same,0.20041536863966772,False,0,"[0.2, 0.3)"
N005806,N011786,different,0.14528462192013594,False,0,"[0.1, 0.2)"
N011420,N011984,different,0.36217948717948717,False,26,"[0.3, 0.4)"
N006646,N009384,different,0.08820882088208822,False,15,"[0.0, 0.1)"
N002639,N002640,same,0.9372197309417041,True,2,"[0.9, 1.01)"
N006541,N009386,different,0.3390010626992561,False,4,"[0.3, 0.4)"
N006760,N008055,different,0.3858447488584475,False,37,"[0.3, 0.4)"
N001785,N004629,different,0.3466915191053122,False,33,"[0.3, 0.4)"
N000741,N000745,same,0.925,True,7,"[0.9, 1.01)"
N008186,N009304,different,0.12330623306233063,False,98,"[0.1, 0.2)"
N001323,N006364,different,0.19576719576719576,False,0,"[0.1, 0.2)"
N003863,N010008,different,0.1255539143279173,False,26,"[0.1, 0.2)"
N000058,N000184,different,0.3803307223672759,False,5,"[0.3, 0.4)"
N000412,N004657,different,0.1335593220338983,False,6,"[0.1, 0.2)"
N000926,N003644,different,0.4040574809805579,False,81,"[0.4, 0.5)"
N004369,N008199,different,0.23671947809878843,False,1,"[0.2, 0.3)"
