notice_id_a,notice_id_b,label,exact_jaccard,minhash_jaccard,absolute_error
N004096,N007060,different,0.27988614800759015,0.2942708333333333,0.014384685325743163
N003135,N003543,different,0.24570273003033366,0.2526041666666667,0.006901436636333025
N006564,N007387,different,0.19121447028423771,0.1875,0.003714470284237714
N004906,N008027,different,0.24807692307692308,0.24739583333333334,0.0006810897435897412
N000145,N007083,different,0.10909090909090909,0.0859375,0.023153409090909086
N008087,N008088,same,0.3354908306364617,0.2916666666666667,0.043824163969794994
N007153,N007701,different,0.3650927487352445,0.375,0.009907251264755501
N010825,N010826,same,0.644918444165621,0.609375,0.03554344416562105
N006905,N006906,same,0.9822866344605475,0.9869791666666666,0.004692532206119093
N001863,N002786,different,0.12583668005354753,0.12239583333333333,0.003440846720214205
N001735,N005403,different,0.3199214916584887,0.3463541666666667,0.026432675008177975
N009982,N009985,same,0.2090837901331245,0.16145833333333334,0.04762545679979116
N008801,N011616,different,0.2028688524590164,0.20052083333333334,0.002348019125683054
N003201,N011795,different,0.35932944606413997,0.375,0.015670553935860032
N009040,N010335,different,0.09785202863961814,0.0859375,0.011914528639618144
N000276,N000278,same,0.27864214992927866,0.3125,0.03385785007072134
N001338,N001340,same,0.9664536741214057,0.9609375,0.005516174121405704
N011118,N011119,same,0.8803301237964236,0.8776041666666666,0.002725957129756984
N000768,N000770,same,0.6614509246088194,0.6484375,0.01301342460881938
N001515,N006807,different,0.19735599622285174,0.19270833333333334,0.0046476628895184
N009100,N009150,different,0.19038461538461537,0.18229166666666666,0.008092948717948717
N000437,N010413,different,0.1146051712089448,0.09635416666666667,0.018251004542278126
N008497,N008498,same,0.5684556407447974,0.5989583333333334,0.030502692588535996
N007145,N007146,same,0.5333333333333333,0.5182291666666666,0.015104166666666696
N007053,N010560,different,0.2975486052409129,0.328125,0.030576394759087078
N008280,N010910,different,0.2009950248756219,0.1953125,0.005682524875621903
N001364,N001365,same,0.9332298136645962,0.9505208333333334,0.01729101966873714
N001075,N009237,different,0.3926174496644295,0.4244791666666667,0.031861717002237167
N003268,N007976,different,0.40863309352517985,0.4557291666666667,0.04709607314148684
N004168,N004169,same,0.6666666666666666,0.6953125,0.02864583333333337
N003317,N011369,different,0.17476635514018693,0.15104166666666666,0.023724688473520272
N002748,N011595,different,0.3349609375,0.3333333333333333,0.0016276041666666852
N000873,N002331,different,0.10371650821089023,0.08072916666666667,0.022987341544223563
N009379,N009380,same,0.9779179810725552,0.9765625,0.0013554810725552313
N007382,N009541,different,0.1262135922330097,0.140625,0.014411407766990292
N006828,N011568,different,0.1245819397993311,0.1171875,0.007394439799331104
N005210,N009890,different,0.17995444191343962,0.18229166666666666,0.002337224753227035
N009046,N010077,different,0.3049645390070922,0.3151041666666667,0.01013962765957449
N000659,N006306,different,0.11432813659985153,0.10677083333333333,0.007557303266518198
N005472,N007849,different,0.12616487455197134,0.12760416666666666,0.0014392921146953175
N007681,N009555,different,0.36071987480438183,0.3723958333333333,0.01167595852895148
N007201,N010116,different,0.20209059233449478,0.20052083333333334,0.001569759001161436
N002665,N004599,different,0.11670020120724346,0.125,0.008299798792756538
N007557,N008376,different,0.35996771589991927,0.3619791666666667,0.0020114507667474135
N000189,N001381,different,0.1941941941941942,0.21354166666666666,0.019347472472472454
N004220,N007941,different,0.3201793721973094,0.3098958333333333,0.010283538863976094
N002036,N008928,different,0.07540263543191801,0.06510416666666667,0.01029846876525134
N003662,N010020,different,0.19473684210526315,0.19270833333333334,0.00202850877192981
N004066,N006280,different,0.19036954087346025,0.20572916666666666,0.015359625793206405
N005647,N010086,different,0.1959531416400426,0.20572916666666666,0.009776025026624058
N002586,N006131,different,0.20436507936507936,0.24479166666666666,0.0404265873015873
N004043,N004969,different,0.0842654735272185,0.078125,0.0061404735272184985
N010853,N010857,same,0.7506142506142506,0.7239583333333334,0.026655917280917207
N000202,N007774,different,0.24489795918367346,0.24479166666666666,0.00010629251700680631
N002852,N002853,same,0.5905511811023622,0.59375,0.003198818897637845
N008049,N010976,different,0.18335343787696018,0.19270833333333334,0.009354895456373163
N010028,N010039,different,0.3333333333333333,0.3098958333333333,0.0234375
N004028,N010035,different,0.19946091644204852,0.21354166666666666,0.014080750224618133
N001702,N010946,different,0.13983050847457626,0.125,0.01483050847457626
N008791,N008803,different,0.3793103448275862,0.3489583333333333,0.030352011494252873
N000684,N004640,different,0.22285174693106705,0.19791666666666666,0.02493508026440039
N011929,N011930,same,0.3801801801801802,0.3541666666666667,0.026013513513513498
N003860,N004075,different,0.3190854870775348,0.3515625,0.03247701292246519
N003884,N007431,different,0.10274963820549927,0.09114583333333333,0.011603804872165946
N002204,N007953,different,0.16557017543859648,0.17447916666666666,0.008908991228070179
N005664,N005666,same,0.7929759704251387,0.8125,0.019524029574861324
N003982,N006359,different,0.3504132231404959,0.3515625,0.0011492768595041114
N002817,N002819,same,0.2578288100208768,0.2682291666666667,0.010400356645789866
N002626,N002629,same,0.5319662243667069,0.5364583333333334,0.00449210896662644
N000262,N002156,different,0.3612852664576803,0.3515625,0.009722766457680276
N000131,N003422,different,0.40736949846468784,0.4010416666666667,0.006327831798021155
N000852,N010531,different,0.09644194756554307,0.08854166666666667,0.0079002808988764
N003659,N005484,different,0.12173913043478261,0.1328125,0.011073369565217386
N001115,N009773,different,0.43190661478599224,0.453125,0.021218385214007762
N010941,N010942,same,0.9493670886075949,0.9322916666666666,0.01707542194092826
N008101,N008840,different,0.17832167832167833,0.16927083333333334,0.009050844988344992
N005983,N009546,different,0.4146772767462423,0.421875,0.007197723253757726
N001180,N006053,different,0.30844444444444447,0.3255208333333333,0.01707638888888885
N004248,N005277,different,0.1471264367816092,0.18489583333333334,0.03776939655172415
N006025,N010086,different,0.1913632514817951,0.1953125,0.003949248518204912
N002970,N007570,different,0.3889908256880734,0.3619791666666667,0.02701165902140673
N002439,N007343,different,0.3269035532994924,0.3229166666666667,0.0039868866328257035
N001488,N005914,different,0.21405750798722045,0.234375,0.020317492012779548
N001624,N006762,different,0.11528150134048257,0.109375,0.005906501340482567
N004870,N006313,different,0.24545454545454545,0.25,0.004545454545454547
N011017,N011020,same,0.5581920903954802,0.5729166666666666,0.014724576271186396
N002389,N002391,same,0.575192096597146,0.578125,0.0029329034028540146
N000672,N002056,different,0.10357142857142858,0.09895833333333333,0.0046130952380952495
N003476,N004605,different,0.22291666666666668,0.21614583333333334,0.006770833333333337
N008022,N010492,different,0.36712095400340716,0.4036458333333333,0.03652487932992615
N009775,N009854,different,0.07016129032258064,0.07552083333333333,0.005359543010752685
N001443,N010092,different,0.29831932773109243,0.2864583333333333,0.011860994397759117
N008152,N008153,same,0.9633251833740831,0.96875,0.005424816625916873
N004151,N009894,different,0.10865051903114187,0.10416666666666667,0.0044838523644751965
N009151,N011771,different,0.4052993130520118,0.390625,0.014674313052011778
N004672,N008166,different,0.4641544117647059,0.4661458333333333,0.001991421568627416
N005081,N007027,different,0.18117854001759015,0.19270833333333334,0.011529793315743192
N002173,N008545,different,0.20683287165281625,0.1953125,0.011520371652816247
N003781,N003783,same,0.9282371294851794,0.9322916666666666,0.004054537181487183
N002084,N007552,different,0.21279373368146215,0.23177083333333334,0.018977099651871193
N004001,N004002,same,0.46846846846846846,0.5052083333333334,0.03673986486486491
N009163,N009439,different,0.17166416791604197,0.16666666666666666,0.0049975012493753135
N002426,N003338,different,0.11958041958041958,0.11458333333333333,0.004997086247086252
N006423,N006425,same,0.9662921348314607,0.9791666666666666,0.012874531835205927
N007876,N009829,different,0.4310064935064935,0.4505208333333333,0.01951433982683981
N007687,N009311,different,0.36731107205623903,0.3776041666666667,0.010293094610427655
N001746,N002955,different,0.07962328767123288,0.059895833333333336,0.01972745433789954
N008284,N008285,same,0.6030612244897959,0.6197916666666666,0.016730442176870697
N001309,N011869,different,0.09463148316651501,0.10416666666666667,0.009535183500151659
N002589,N004081,different,0.11451612903225807,0.11458333333333333,6.72043010752632e-05
N005300,N006349,different,0.400196656833825,0.4036458333333333,0.003449176499508322
N009455,N009456,same,0.5677339901477833,0.5703125,0.0025785098522167482
N004081,N010560,different,0.12895752895752896,0.13802083333333334,0.009063304375804382
N004306,N004307,same,0.9730941704035875,0.9791666666666666,0.006072496263079152
N000884,N011090,different,0.31649484536082473,0.3177083333333333,0.0012134879725085868
N000010,N003634,different,0.10844200411805079,0.10416666666666667,0.004275337451384115
N002225,N011649,different,0.19815195071868583,0.1875,0.010651950718685826
N001484,N003224,different,0.09112519809825674,0.078125,0.01300019809825674
N008411,N008412,same,0.36926147704590817,0.3932291666666667,0.023967689620758514
N006804,N010502,different,0.15614886731391586,0.22395833333333334,0.06780946601941748
N009437,N010826,different,0.3293795620437956,0.3541666666666667,0.024787104622871092
N000335,N007009,different,0.25068870523415976,0.2526041666666667,0.0019154614325069264
N002857,N005654,different,0.3247422680412371,0.3229166666666667,0.0018256013745704402
N000078,N007325,different,0.22010869565217392,0.22395833333333334,0.0038496376811594235
N000864,N005773,different,0.18385214007782102,0.171875,0.011977140077821025
N007718,N008135,different,0.30525437864887406,0.3072916666666667,0.0020372880177926267
N006976,N010778,different,0.351451973194341,0.3645833333333333,0.013131360138992298
N002774,N011414,different,0.20585048754062837,0.20833333333333334,0.0024828457927049685
N004762,N010111,different,0.40985130111524165,0.4140625,0.004211198884758349
N003908,N003909,same,0.2292929292929293,0.25,0.0207070707070707
N000664,N000666,same,0.40914709517923364,0.4140625,0.004915404820766356
N004323,N009954,different,0.18536009445100354,0.18489583333333334,0.0004642611176702005
N010390,N011580,different,0.10576923076923077,0.06770833333333333,0.03806089743589744
N004880,N004881,same,0.9330484330484331,0.9088541666666666,0.02419426638176647
N000818,N006620,different,0.13406408094435077,0.13802083333333334,0.003956752388982576
N001043,N002862,different,0.22560429722470904,0.23958333333333334,0.013979036108624304
N000640,N011658,different,0.1317008603573792,0.11197916666666667,0.01972169369071254
N008018,N008676,different,0.08196721311475409,0.09375,0.011782786885245908
N002685,N002686,same,0.4891611687087653,0.4713541666666667,0.01780700204209862
N000449,N010133,different,0.19014891179839633,0.16927083333333334,0.020878078465062982
N004683,N007002,different,0.12380952380952381,0.11979166666666667,0.0040178571428571425
N010844,N011602,different,0.20945945945945946,0.23177083333333334,0.022311373873873885
N002440,N002443,same,0.31993299832495814,0.3697916666666667,0.049858668341708545
N001357,N003372,different,0.18711385701676964,0.16666666666666666,0.02044719035010298
N010856,N010857,same,0.6835138387484958,0.6588541666666666,0.024659672081829176
N005262,N005263,same,0.3064159292035398,0.296875,0.009540929203539827
N000070,N004969,different,0.40397350993377484,0.4270833333333333,0.02310982339955847
N003615,N009126,different,0.3707865168539326,0.4036458333333333,0.03285931647940071
N003236,N006862,different,0.1080574640849469,0.09114583333333333,0.016911630751613574
N001257,N005818,different,0.11585807385952208,0.11197916666666667,0.003878907192855413
N001027,N005073,different,0.19148936170212766,0.20833333333333334,0.016843971631205684
N002169,N011831,different,0.2025183630640084,0.1953125,0.007205863064008389
N002691,N005271,different,0.1184407796101949,0.10416666666666667,0.014274112943528233
N005141,N007639,different,0.18530020703933747,0.20572916666666666,0.020428959627329185
N000675,N005669,different,0.341425215348473,0.3463541666666667,0.004928951318193708
N005337,N011060,different,0.07733333333333334,0.0703125,0.007020833333333337
N001699,N004758,different,0.11626344086021505,0.1171875,0.0009240591397849524
N007012,N009759,different,0.11544585987261147,0.11197916666666667,0.003466693205944796
N004855,N004856,same,0.6316831683168317,0.6458333333333334,0.014150165016501681
N010491,N010492,same,0.6770929162833487,0.6223958333333334,0.0546970829500153
N003270,N006319,different,0.09255242227042661,0.09375,0.001197577729573393
N003144,N011859,different,0.3488372093023256,0.3671875,0.01835029069767441
N000889,N000890,same,0.6259765625,0.6302083333333334,0.00423177083333337
N001432,N001435,same,0.6950959488272921,0.7057291666666666,0.010633217839374542
N008926,N010073,different,0.1220472440944882,0.09375,0.028297244094488194
N006903,N010093,different,0.14014895057549087,0.1328125,0.0073364505754908715
N000486,N000487,same,0.9723991507430998,0.984375,0.011975849256900206
N006198,N007366,different,0.11163522012578617,0.13020833333333334,0.018573113207547176
N004084,N004085,same,0.704225352112676,0.7369791666666666,0.03275381455399062
N007902,N007976,different,0.4217939214232765,0.4505208333333333,0.02872691191005683
N002019,N002021,same,0.4990974729241877,0.4895833333333333,0.009514139590854398
N008725,N008728,same,0.629245283018868,0.625,0.004245283018867951
N001957,N001958,same,0.9769911504424779,0.984375,0.0073838495575221375
N005497,N008336,different,0.09733840304182509,0.11197916666666667,0.014640763624841582
N009301,N009302,same,0.9527027027027027,0.9427083333333334,0.009994369369369371
N008499,N008952,different,0.24645892351274787,0.2864583333333333,0.039999409820585446
N002300,N003674,different,0.12384996461429583,0.12760416666666666,0.003754202052370828
N009680,N011001,different,0.07981580966999233,0.0703125,0.009503309669992327
N005556,N006568,different,0.0911854103343465,0.09635416666666667,0.005168756332320168
N003574,N007121,different,0.1776923076923077,0.20572916666666666,0.028036858974358952
N004353,N004355,same,0.5910064239828694,0.6015625,0.0105560760171306
N004438,N004442,same,0.7637540453074434,0.7369791666666666,0.026774878640776767
N004678,N004680,same,0.8588957055214724,0.8671875,0.00829179447852757
N000056,N009414,different,0.076980014803849,0.08072916666666667,0.0037491518628176707
N005365,N009764,different,0.21897163120567376,0.22395833333333334,0.004986702127659587
N002248,N003503,different,0.20933165195460277,0.21614583333333334,0.006814181378730577
N010508,N010509,same,0.31767955801104975,0.3203125,0.0026329419889502548
N001817,N007306,different,0.09936575052854123,0.09635416666666667,0.003011583861874556
N003274,N007023,different,0.3271555197421434,0.34375,0.016594480257856592
N005079,N005080,same,0.33774834437086093,0.3255208333333333,0.012227511037527616
N000591,N011538,different,0.1151560178306092,0.12239583333333333,0.007239815502724123
N009925,N010387,different,0.11596505162827642,0.10416666666666667,0.011798384961609745
N001053,N002186,different,0.22641509433962265,0.21875,0.007665094339622647
N008562,N009324,different,0.3426001635322976,0.3723958333333333,0.029795669801035707
N000250,N003051,different,0.10746685275645498,0.09635416666666667,0.011112686089788312
N001525,N001678,different,0.34724540901502504,0.359375,0.012129590984974958
N008599,N008602,same,0.5221238938053098,0.53125,0.009126106194690231
N003942,N010918,different,0.19169329073482427,0.18489583333333334,0.006797457401490931
N002513,N007637,different,0.3698630136986301,0.390625,0.020761986301369884
N009703,N009705,same,0.5205479452054794,0.5390625,0.018514554794520577
N004315,N009584,different,0.3396029258098224,0.3515625,0.011959574190177624
N010620,N010621,same,0.934876989869754,0.9244791666666666,0.010397823203087353
N008248,N008249,same,0.3514056224899598,0.3515625,0.00015687751004017647
N005222,N005225,same,0.3649956024626209,0.3385416666666667,0.02645393579595423
N002502,N002505,same,0.9281524926686217,0.9296875,0.0015350073313783463
N006200,N006201,same,0.39317953861584753,0.3776041666666667,0.01557537194918085
N000217,N002582,different,0.15344938749194068,0.15885416666666666,0.005404779174725982
N001207,N004094,different,0.21122994652406418,0.2265625,0.015332553475935817
N005453,N010471,different,0.20205799812909261,0.1953125,0.006745498129092614
N001063,N005024,different,0.2299168975069252,0.21614583333333334,0.013771064173591863
N000697,N005493,different,0.07472712006717044,0.07291666666666667,0.0018104534005037726
N003555,N009272,different,0.0864,0.09114583333333333,0.004745833333333324
N005393,N007391,different,0.1892430278884462,0.20833333333333334,0.01909030544488713
N006121,N009928,different,0.3430599369085173,0.3515625,0.008502563091482673
N004229,N006064,different,0.08319604612850082,0.08072916666666667,0.0024668794618341455
N003265,N010005,different,0.24119241192411925,0.2604166666666667,0.019224254742547436
N007303,N007376,different,0.09387755102040816,0.0703125,0.023565051020408165
N005512,N007327,different,0.2528334786399303,0.265625,0.012791521360069724
N009065,N011122,different,0.09099350046425256,0.08072916666666667,0.010264333797585887
N001376,N001377,same,0.39734422880490294,0.3645833333333333,0.03276089547156963
N000357,N000359,same,0.7019790454016298,0.6744791666666666,0.02749987873496318
N008677,N011938,different,0.22406639004149378,0.24479166666666666,0.020725276625172873
N002197,N002198,same,0.49801849405548215,0.4791666666666667,0.018851827388815467
N001905,N005873,different,0.3779322328410078,0.3854166666666667,0.007484433825658887
N007497,N007499,same,0.6237006237006237,0.6223958333333334,0.001304790367290365
N007334,N007335,same,0.922272047832586,0.9166666666666666,0.005605381165919354
N002570,N005618,different,0.11472011057360056,0.13020833333333334,0.015488222759732787
N001074,N002707,different,0.1111864406779661,0.11197916666666667,0.0007927259887005739
N003691,N004544,different,0.08171861836562763,0.07291666666666667,0.00880195169896096
N003415,N008452,different,0.36979591836734693,0.3697916666666667,4.251700680246717e-06
N011716,N011717,same,0.9690140845070423,0.9635416666666666,0.005472417840375665
N001083,N011985,different,0.2424969987995198,0.265625,0.023128001200480197
N011499,N011500,same,0.9955257270693513,1.0,0.004474272930648726
N004212,N009766,different,0.3323375653472741,0.3489583333333333,0.016620767986059215
N002974,N006457,different,0.15256410256410258,0.13802083333333334,0.014543269230769235
N003854,N003855,same,0.6447204968944099,0.6041666666666666,0.04055383022774328
N005378,N005379,same,0.9452229299363057,0.9375,0.007722929936305745
N011829,N011830,same,0.9512195121951219,0.9557291666666666,0.004509654471544722
N005326,N006145,different,0.1875637104994903,0.16666666666666666,0.020897043832823647
N006145,N006146,same,0.5562347188264058,0.5755208333333334,0.01928611450692752
N002008,N003498,different,0.23185265438786565,0.22135416666666666,0.01049848772119899
N010513,N010514,same,0.9345238095238095,0.9296875,0.004836309523809534
N000443,N006009,different,0.08549874266554904,0.09114583333333333,0.005647090667784294
N000043,N000050,same,0.981994459833795,0.9791666666666666,0.002827793167128334
N008967,N008968,same,0.2653333333333333,0.2708333333333333,0.005500000000000005
N002801,N002802,same,0.5983350676378772,0.5911458333333334,0.007189234304543879
N000119,N009303,different,0.07358953393295176,0.0625,0.011089533932951756
N002058,N002059,same,0.954954954954955,0.953125,0.001829954954954971
N001325,N009136,different,0.17717003567181927,0.1875,0.01032996432818073
N003642,N009092,different,0.18223760092272204,0.1875,0.005262399077277963
N004298,N004299,same,0.9673405909797823,0.9427083333333334,0.02463225764644894
N007729,N007732,same,0.9657657657657658,0.96875,0.0029842342342342176
N007652,N008774,different,0.4291497975708502,0.4609375,0.0317877024291498
N000834,N001578,different,0.10785619174434088,0.09375,0.014106191744340885
N002673,N009844,different,0.33657587548638135,0.3489583333333333,0.012382457846951966
N003008,N009152,different,0.1863041289023162,0.1796875,0.006616628902316207
N001326,N001328,same,0.5924617196702002,0.5911458333333334,0.001315886336866856
N009445,N009562,different,0.5065934065934066,0.5104166666666666,0.0038232600732600597
N005985,N009162,different,0.12181303116147309,0.12760416666666666,0.00579113550519357
N004071,N004072,same,0.9765765765765766,0.9869791666666666,0.010402590090090036
N000384,N002019,different,0.0962800875273523,0.109375,0.013094912472647699
N003494,N003495,same,0.20041536863966772,0.20833333333333334,0.007917964693665624
N005806,N011786,different,0.14528462192013594,0.13541666666666666,0.009867955253469285
N011420,N011984,different,0.36217948717948717,0.3802083333333333,0.018028846153846145
N006646,N009384,different,0.08820882088208822,0.09895833333333333,0.010749512451245113
N002639,N002640,same,0.9372197309417041,0.9114583333333334,0.025761397608370706
N006541,N009386,different,0.3390010626992561,0.3541666666666667,0.015165603967410568
N006760,N008055,different,0.3858447488584475,0.3880208333333333,0.00217608447488582
N001785,N004629,different,0.3466915191053122,0.3723958333333333,0.025704314228021108
N000741,N000745,same,0.925,0.9322916666666666,0.007291666666666585
N008186,N009304,different,0.12330623306233063,0.14583333333333334,0.022527100271002715
N001323,N006364,different,0.19576719576719576,0.21354166666666666,0.0177744708994709
N003863,N010008,different,0.1255539143279173,0.12239583333333333,0.0031580809945839644
N000058,N000184,different,0.3803307223672759,0.4348958333333333,0.05456511096605743
N000412,N004657,different,0.1335593220338983,0.125,0.008559322033898309
N000926,N003644,different,0.4040574809805579,0.453125,0.04906751901944212
N004369,N008199,different,0.23671947809878843,0.19010416666666666,0.046615311432121775
N003450,N006996,different,0.1618075801749271,0.1640625,0.002254919825072893
